,CoffeeShopName,Avg Food Rating
0,Bad Coffee,8.0000
1,Bodhi Leaf Coffee Traders,3.5000
2,Brot Coffee,6.5000
3,Coffee Nature,6.3333
4,CONTRA COFFEE and TEA,9.5000
5,Cyrano's Caffe,5.5000
6,Grow Coffee + Tea,9.5000
7,Herst Coffee Roasters,10.0000
8,Hidden House Coffee,6.0000
9,Hola Adios Coffeeshop,6.0000
10,Hopper and Burr,6.5000
11,Huskins Coffee Company,10.0000
12,Kaffa Inc,3.5000
13,Kean Coffee Artisan Roasters,7.5000
14,KIT Coffee,3.0000
15,MAZ Cafe Con Leche,6.5000
16,Moon Goat Coffee,5.0000
17,Morning Lavender Boutique & Cafe,6.5000
18,Neat Coffee,9.0000
19,Nook Coffee Bar,9.0000
20,Oiio Cafe,8.5000
21,Philz Coffee,6.0000
22,Portola Coffee Roasters,8.5000
23,Rekindle Caffe,10.0000
24,The Cafe Krave,3.0000
25,The Lost Bean Organic Coffee & Tea,10.0000
26,Tru Bru Organic Coffee,9.5000
27,Ugly Mug Cafe,6.5000
28,Urth Caffe Orange,6.0000
